Rank,Polish,English,,Notes
1217,wasz,yours,,
1218,poproszę,Please,,
1219,buty,shoes,,
1220,uciekaj,run away,,
1221,stara,old,,
1222,of,of,,
1223,gry,game,,
1224,całej,the whole,,
1225,facetem,guy,,
1226,woda,water,,
1227,nazywasz,call,,
1228,prosić,ask,,
1229,samolot,plane,,
1230,ben,ben,,
1231,pierwszym,first,,
1232,robicie,you do,,
1233,gościa,guest,,
1234,wyboru,selection,,
1235,kraj,country,,
1236,przyszłość,future,,
1237,rodzaju,kind of,,
1238,widziałaś,have you seen,,
1239,billy,billy,,
1240,światła,light,,
1241,fajnie,good,,
1242,powoli,slowly,,
1243,części,parts,,
1244,trudne,hard,,
1245,niesamowite,incredible,,
1246,stamtąd,thence,,
1247,wysokość,height,,
1248,henry,henry,,
1249,zabije,kill,,
1250,jaja,eggs,,
1251,biura,offices,,
1252,nieprawda,not true,,
1253,pomiędzy,between,,
1254,własne,own,,
1255,szef,boss,,
1256,nową,new,,
1257,tygodni,weeks,,
1258,pomogę,help,,
1259,ślub,wedding,,
1260,dzieciaki,kids,,
1261,drinka,drink,,
1262,koło,circle,,
1263,sensu,meaning,,
1264,wielkiego,great,,
1265,mowy,speech,,
1266,skończyć,end,,
1267,podaj,please,,
1268,pasuje,fit,,
1269,la,la,,
1270,s,s,,
1271,zaczął,he started,,
1272,książki,books,,
1273,spotkamy,we'll meet,,
1274,witamy,welcome,,
1275,bierz,take,,
1276,więzienia,prisons,,
1277,d,d,,
1278,doskonale,perfectly,,
1279,przyjęcie,adoption,,
1280,otworzyć,open,,
1281,dziesięć,ten,,
1282,słuchajcie,listen,,
1283,johnny,johnny,,
1284,znaleźliśmy,we found,,
1285,matką,mother,,
1286,rodziców,parents,,
1287,kolejny,next,,
1288,jakbym,I,,
1289,patrzeć,look,,
1290,mogłam,I could,,
1291,jedyną,only,,
1292,ból,pain,,
1293,zapytać,ask,,
1294,lepszy,better,,
1295,pozwolę,I let,,
1296,jedynym,only,,
1297,chcieli,They wanted,,
1298,potrzeba,need,,
1299,pójdzie,will go,,
1300,odejdź,Go away,,
1301,zamierzasz,You are going to,,
1302,wielkim,great,,
1303,pieprzony,frigging,,
1304,oko,eye,,
1305,wokół,around,,
1306,osobą,person,,
1307,król,King,,
1308,uważa,considered,,
1309,rozkaz,command,,
1310,ha,ha,,
1311,martwić,worry,,
1312,klucz,key,,
1313,pytań,questions,,
1314,chory,sick,,
1315,max,max,,
1316,ray,ray,,
1317,przyszedłem,I came,,
1318,san,san,,
1319,sytuacji,situations,,
1320,drugie,second,,
1321,wizja,vision,,
1322,usłyszeć,hear,,
1323,żebyśmy,us,,
1324,zajmie,will,,
1325,powiedzieli,they said,,
1326,oddaj,give,,
1327,nauczyć,learn,,
1328,miłe,nice,,
1329,zrobiłaś,you did,,
1330,jedyny,only,,
1331,okej,okay,,
1332,zamknąć,close,,
1333,skończy,end,,
1334,jedyne,only,,
1335,powstrzymać,stop,,
1336,spoko,cool,,
1337,miałaś,You had,,
1338,brakuje,missing,,
1339,siedem,seven,,
1340,celu,to,,
1341,całego,whole,,
1342,wolny,slow,,
1343,byłby,would,,
1344,de,de,,
1345,piwo,beer,,
1346,umarł,died,,
1347,wcześnie,early,,
1348,tony,tony,,
1349,ostatnia,final,,
1350,kawałek,piece,,
1351,przejść,walk,,
1352,ognia,fire,,
1353,dupę,ass,,
1354,panna,Virgin,,
1355,szczęśliwa,happy,,
1356,ktokolwiek,anyone,,
1357,specjalnie,specially,,
1358,osoby,persons,,
1359,sprawdź,check,,
1360,głupie,silly,,
1361,jakbyś,if you,,
1362,zabiłeś,you killed,,
1363,pierwszej,first,,
1364,straszne,terrible,,
1365,alex,alex,,
1366,wypadku,accident,,
1367,c,c,,
1368,seks,sex,,
1369,info,info,,
1370,minuty,minutes,,
1371,osoba,person,,
1372,szukać,look for,,
1373,miesiące,months,,
1374,historię,story,,
1375,drugą,second,,
1376,pracujesz,working,,
1377,dzieciak,child,,
1378,bill,bill,,
1379,wielką,huge,,
1380,znajdziesz,You will find,,
1381,abyś,you,,
1382,szpitalu,hospital,,
1383,zapomniałem,I forgot,,
1384,kawy,coffee,,
1385,jakimś,some,,
1386,spraw,make it happen,,
1387,samochodzie,car,,
1388,juz,already,,
1389,jazda,ride,,
1390,jim,jim,,
1391,telefonu,phone,,
1392,chciałbyś,You would like to,,
1393,naprzód,forward,,
1394,myślą,think,,
1395,jedyna,only,,
1396,wyglądam,look,,
1397,wśród,among,,
1398,kawę,coffee,,
1399,system,system,,
1400,przygotować,prepare,,
1401,ostatniej,the last,,
1402,zdanie,sentence,,
1403,zimno,cold,,
1404,wynoś,get out,,
1405,dziękujemy,thank you,,
1406,przynieś,bring,,
1407,załatwić,get,,
1408,peter,peter,,
1409,muzyka,music,,
1410,zrozumiałem,I understood,,
1411,moc,power,,
1412,zostanę,stay,,
1413,swego,his,,
1414,stylu,style,,
1415,oprócz,except,,
1416,wychodzi,out,,
1417,poszło,went,,
1418,jedzenia,food,,
1419,zostaniesz,You'll stay,,
1420,zaczynamy,we begin,,
1421,wodę,water,,
1422,wolę,I prefer,,
1423,łóżku,bed,,
1424,znajdzie,finds,,
1425,hmm,hmm,,
1426,prawdziwa,true,,
1427,wow,wow,,
1428,więzieniu,prison,,
1429,zajęty,busy,,
1430,zrobili,they did,,
1431,prowadzi,leads,,
1432,słońce,Sun,,
1433,codziennie,every day,,
1434,znak,sign,,
1435,usiąść,sit down,,
1436,złapać,catch,,
1437,pobrane,downloaded,,
1438,sierżancie,Sergeant,,
1439,założę,I bet,,
1440,częścią,part,,
1441,szansa,chance,,
1442,that,That,,
1443,powiedzenia,Proverbs,,
1444,subedit,SubEdit,,
1445,chodziło,was,,
1446,wiedziałeś,you know,,
1447,znajdź,find,,
1448,wieści,news,,
1449,samą,the same,,
1450,mogło,could,,
1451,ochotę,wanted,,
1452,próbowałem,I tried,,
1453,nick,nick,,
1454,dziękuje,thank you,,
1455,osobiście,personally,,
1456,wiadomo,unknown,,
1457,cudownie,wonderfully,,
1458,jedzie,going,,
1459,fbi,fbi,,
1460,gratulacje,Congratulations,,
1461,życiem,life,,
1462,przestańcie,stop,,
1463,młoda,young,,
1464,druga,second,,
1465,podróż,journey,,
1466,podobno,supposedly,,
1467,wersji,version,,
1468,początek,beginning,,
1469,szczęścia,happiness,,
1470,eddie,eddie,,
1471,kolego,my friend,,
1472,najlepszym,best,,
1473,lewo,left,,
1474,zdaje,seems,,
1475,bobby,bobby,,
1476,t,t,,
1477,niezłe,not bad,,
1478,zasady,rules,,
1479,żyjesz,you live,,
1480,zapomnieć,forget,,
1481,mogłabym,I could,,
1482,siostry,sisters,,
1483,jakiej,which,,
1484,urodziny,birthday,,
1485,zapłacić,pay,,
1486,matkę,mother,,
1487,danny,danny,,
1488,mocy,power,,
1489,siedzieć,sit,,
1490,niezła,bad,,
1491,staram,I try,,
1492,zdobyć,get,,
1493,lee,lee,,
1494,damy,lady,,
1495,gotów,ready,,
1496,dowód,evidence,,
1497,wyprawiasz,doing,,
1498,kochać,love,,
1499,sądzie,court,,
1500,ładna,pretty,,
1501,pieprzyć,fuck,,
1502,komuś,someone,,
1503,telewizji,TV,,
1504,święta,holidays,,
1505,rząd,government,,
1506,steve,steve,,
1507,wybaczyć,forgive,,
1508,związku,Relationship,,
1509,wybór,choice,,
1510,chłopaka,boyfriend,,
1511,miłego,nice,,
1512,pora,time,,
1513,wyjdź,exit,,
1514,idźcie,go,,
1515,martwi,worried,,
1516,chodzić,go,,
1517,nieco,little,,
1518,j,j,,
1519,problemu,the problem,,
1520,stał,steel,,
1521,atak,attack,,
1522,próbował,tried,,
1523,głupia,stupid,,
1524,zobaczmy,let's see,,
1525,gorzej,worse,,
1526,informacje,information,,
1527,godzina,hour,,
1528,książkę,book,,
1529,uczucie,feeling,,
1530,wyjaśnić,explain,,
1531,każda,each,,
1532,głowa,head,,
1533,ej,above,,
1534,przyjemność,pleasure,,
1535,związek,relationship,,
1536,lekarza,doctor,,
1537,znamy,we know,,
1538,rzeczywiście,actually,,
1539,zdrowie,health,,
1540,przychodzi,coming,,
1541,rozumie,understands,,
1542,błagam,I beg,,
1543,boską,gorgeous,,
1544,byśmy,us,,
1545,mieszkanie,flat,,
1546,odpowiedzi,answers,,
1547,wysoki,tall,,
1548,głodny,hungry,,
1549,kolej,rail,,
1550,wiedziała,He knew,,
1551,córkę,daughter,,
1552,najlepszego,best,,
1553,tuż,next door,,
1554,przeciw,against,,
1555,chwilkę,moment,,
1556,potrzebował,needed,,
1557,zostałem,I stayed,,
1558,pierwszą,first,,
1559,adres,address,,
1560,imieniu,behalf of,,
1561,próbuje,try,,
1562,innymi,other,,
1563,kuchni,the kitchen,,
1564,żyją,live,,
1565,ruch,motion,,
1566,zróbmy,let's,,
1567,prosze,Please,,
1568,latach,years,,
1569,przede,first,,
1570,dałem,I gave,,
1571,poczekać,wait,,
1572,osiem,eight,,
1573,wyszedł,came out,,
1574,brać,take,,
1575,banku,bank,,
1576,okno,window,,
1577,gości,guests,,
1578,zabij,kill,,
1579,firmy,companies,,
1580,ciąży,pregnant,,
1581,jake,jake,,
1582,odłóż,put down,,
1583,wrócisz,you will come back,,
1584,śniadanie,breakfast,,
1585,mistrzu,master,,
1586,różne,different,,
1587,wierzyć,believe,,
1588,tommy,tommy,,
1589,przyszłości,future,,
1590,króla,king,,
1591,synem,son,,
1592,spójrzcie,look,,
1593,widzicie,you see,,
1594,przysługę,a favor,,
1595,pobliżu,Nearby,,
1596,czekam,I am waiting,,
1597,leży,is,,
1598,zabrał,took,,
1599,dawna,long,,
1600,dolców,bucks,,
1601,program,program,,
1602,usa,USA,,
1603,zadanie,request,,
1604,plany,plans,,
1605,małego,small,,
1606,r,r,,
1607,dwoje,two,,
1608,pracował,he worked,,
1609,oddać,give back,,
1610,mężczyzn,men,,
1611,ładne,nice,,
1612,mogłabyś,could,,
1613,wobec,to,,
1614,spojrzeć,look,,
1615,rana,wound,,
1616,wyjdzie,come out,,
1617,szalony,insane,,
1618,wrażenie,impression,,
1619,nasi,our,,
1620,kończy,ends,,
1621,biały,white,,
1622,mężczyzną,man,,
1623,szukasz,you are looking for,,
1624,żegnaj,goodbye,,
1625,córki,daughters,,
1626,siê,himself,,
1627,świetne,great,,
1628,szuka,looking,,
1629,gliny,clay,,
1630,zniszczyć,destroy,,
1631,spadaj,Get lost,,
1632,chętnie,willingly,,
1633,weekend,weekend,,
1634,podać,give,,
1635,pociąg,train,,
1636,usta,mouth,,
1637,otwarte,Open,,
1638,moimi,my,,
1639,pierwszego,first,,
1640,powinni,should,,
1641,bezpieczeństwa,safety,,
1642,użyć,use,,
1643,uratować,save,,
1644,faceci,guys,,
1645,zginął,killed,,
1646,własną,own,,
1647,dala,away,,
1648,czarny,black,,
1649,wojnę,war,,
1650,zostawił,he left,,
1651,słów,words,,
1652,dziewczynka,girl,,
1653,dumny,proud,,
1654,bliżej,closer,,
1655,spodoba,like,,
1656,rodzaj,type,,
1657,owszem,yes,,
1658,generale,General,,
1659,ilu,how many,,
1660,zabawy,fun,,
1661,wziął,he took,,
1662,tysiące,thousands,,
1663,zabiłem,I killed,,
1664,stare,old,,
1665,stop,Stop,,
1666,nieprawdaż,is not it,,
1667,pierdol,fuck,,
1668,mecz,match,,
1669,konia,horse,,
1670,świetna,excellent,,
1671,chciałby,would like to,,
1672,dostanę,I will get,,
1673,zgodnie,according to,,
1674,rodziną,family,,
1675,pański,your,,
1676,kasę,money,,
1677,strzelać,shoot,,
1678,obudź,wake,,
1679,rzuć,throw,,
1680,morderstwo,murder,,
1681,wspaniała,great,,
1682,potrzebny,necessary,,
1683,każdą,each,,
1684,zwłaszcza,especially,,
1685,dotykaj,touch,,
1686,przyszła,she came,,
1687,nieba,skies,,
1688,opuścić,leave,,
1689,znalazłeś,found,,
1690,biurze,office,,
1691,momencie,time,,
1692,zabawa,fun,,
1693,siedzi,sit,,
1694,budynku,building,,
1695,grę,game,,
1696,umiem,I can,,
1697,linii,line,,
1698,podejdź,come over,,
1699,informacji,information,,
1700,niewiele,little,,
1701,umiesz,you can,,
1702,przodu,front,,
1703,wraca,returns,,
1704,zespół,team,,
1705,wynocha,get out,,
1706,mówiłaś,you told,,
1707,nikim,anyone,,
1708,jasna,bright,,
1709,słońca,the sun,,
1710,oczach,eyes,,
1711,dobrej,good,,
1712,nr,No.,,
1713,jerry,jerry,,
1714,m,m,,
1715,względu,because,,
1716,krok,step,,
1717,żart,joke,,
1718,musze,I have to,,
1719,zgadzam,I agree,,
1720,prezydent,President,,
1721,rodzinie,family,,
1722,wyjścia,exit,,
1723,gówna,shit,,
1724,niebezpieczne,dangerous,,
1725,pistolet,gun,,
1726,państwo,state,,
1727,drugim,second,,
1728,dziećmi,children,,
1729,miałbym,I would,,
1730,zgoda,consent,,
1731,odebrać,answer,,
1732,wyglądają,look,,
1733,dupy,suck,,
1734,udział,participation,,
1735,mego,my,,
1736,grupa,group,,
1737,lunch,lunch,,
1738,inną,another,,
1739,wygrać,win,,
1740,zeszłym,last,,
1741,nowych,new,,
1742,sytuacja,situation,,
1743,wiary,of faith,,
1744,pory,season,,
1745,ostatnim,the last,,
1746,raport,report,,
1747,niespodzianka,surprise,,
1748,statku,ship,,
1749,różnica,difference,,
1750,poruczniku,Lieutenant,,
1751,chłopca,boy,,
1752,zrobiliśmy,we did,,
1753,problemów,issues,,
1754,jane,jane,,
1755,lekarz,doctor,,
1756,metrów,meters,,
1757,listy,letters,,
1758,czuć,feel,,
1759,jedziesz,you are driving,,
1760,miła,nice,,
1761,trzyma,keeps,,
1762,obraz,image,,
1763,dzwonił,he called,,
1764,przejmuj,worry,,
1765,wóz,car,,
1766,p,p,,
1767,liczy,counts,,
1768,fakt,fact,,
1769,kate,kate,,
1770,straciłem,I lost,,
1771,zostaje,is,,
1772,znalazłam,I found,,
1773,komu,who,,
1774,powietrze,air,,
1775,szefem,head,,
1776,mózgu,the brain,,
1777,poszła,She went,,
1778,dostanie,get,,
1779,biorę,I take,,
1780,dave,dave,,
1781,cisza,silence,,
1782,twierdzi,argues,,
1783,sprawia,makes,,
1784,wydostać,out,,
1785,wewnątrz,inside,,
1786,wychodzę,I go out,,
1787,zmęczony,tired,,
1788,mil,mil,,
1789,widok,view,,
1790,pozbyć,get rid of,,
1791,dupku,asshole,,
1792,długi,long,,
1793,idą,they go,,
1794,iż,that,,
1795,pozwoli,will,,
1796,lecieć,fly,,
1797,korekta,correction,,
1798,ładny,pretty,,
1799,piłkę,ball,,
1800,pułkowniku,Colonel,,
1801,kłopotów,trouble,,
1802,towar,commodity,,
1803,poradzę,I handle it,,
1804,klasy,class,,
1805,lubią,they like,,
1806,karty,card,,
1807,dziwnie,oddly,,
1808,inna,other,,
1809,radio,radio,,
1810,interesuje,interest,,
1811,znaczyć,mean,,
1812,wyjście,exit,,
1813,możliwości,capabilities,,
1814,prawdy,truth,,
1815,abym,I,,
1816,bawić,entertain,,
1817,prawdziwym,real,,
1818,nadchodzi,coming,,
1819,widzieliśmy,we have seen,,
1820,daję,gives,,
1821,małym,small,,
1822,ziemia,Earth,,
1823,ah,ah,,
1824,własnej,own,,
1825,oczu,Eye,,
1826,przyznać,admit,,
1827,staje,becomes,,
1828,pić,drink,,
1829,następnego,the next,,
1830,ojcu,father,,
1831,will,will,,
1832,indziej,else,,
1833,oglądać,watch,,
1834,zaczynam,I begin,,
1835,zabiorę,I'll take,,
1836,zacznie,starts,,
1837,bratem,brother,,
1838,akurat,exactly,,
1839,dupek,asshole,,
1840,uwagi,comments,,
1841,wujek,uncle,,
1842,drogą,way,,
1843,uciekać,run away,,
1844,zastanawiam,I'm thinking,,
1845,kierunku,direction,,
1846,wrócimy,return,,
1847,myślicie,you think,,
1848,prowadzić,lead,,
1849,bój,funk,,
1850,mówimy,we say,,
1851,obaj,both,,
1852,pojechać,go,,
1853,przyszedłeś,you came,,
1854,okolicy,neighborhood,,
1855,kwiaty,flowers,,
1856,wyjechać,to leave,,
1857,zamknięte,closed,,
1858,punkt,point,,
1859,facetów,guys,,
1860,bank,bank,,
1861,pospiesz,hurry,,
1862,szkodzi,harms,,
1863,bierze,takes,,
1864,mózg,brain,,
1865,daleka,afar,,
1866,your,your,,
1867,miliony,millions,,
1868,język,language,,
1869,kotku,Kitty,,
1870,wydarzyło,happened,,
1871,zaczęło,started,,
1872,wsiadaj,Get in,,
1873,absolutnie,absolutely,,
1874,sygnał,signal,,
1875,umrze,dies,,
1876,biuro,office,,
1877,milion,million,,
1878,dane,data,,
1879,kości,bones,,
1880,jezus,Jesus,,
1881,rzeczą,thing,,
1882,mówili,they said,,
1883,wujku,Uncle,,
1884,skończyłem,I finished,,
1885,tatuś,daddy,,
1886,śmiało,boldly,,
1887,najlepsza,best,,
1888,żadna,none,,
1889,wyluzuj,chill out,,
1890,psy,dogs,,
1891,ubrania,Clothes,,
1892,niektóre,some,,
1893,innej,another,,
1894,rozmawialiśmy,we talked,,
1895,kontakt,contact,,
1896,zobaczyłem,I saw,,
1897,łódź,boat,,
1898,taty,dad,,
1899,pytam,I ask,,
1900,żył,he lived,,
1901,biegnij,run,,
1902,myślałeś,thought,,
1903,zmienia,change,,
1904,wiatr,wind,,
1905,żyję,lives,,
1906,czasy,times,,
1907,pomyślałam,I thought,,
1908,cholerny,damn,,
1909,znaleźli,found,,
1910,kasy,cash,,
1911,chronić,protect,,
1912,laboratorium,lab,,
1913,potrzebne,necessary,,
1914,zmieni,change,,
1915,dostałeś,you get,,
1916,powiedzmy,say,,
1917,wolność,freedom,,
1918,moge,I can,,
1919,rękach,hands,,
1920,interesy,interests,,
1921,kolejne,next,,
1922,cos,something,,
1923,amen,Amen,,
1924,dniu,day,,
1925,śpi,sleeps,,
1926,czułem,I felt,,
1927,uciekł,he fled,,
1928,mark,mark,,
1929,okropne,awful,,
1930,waszej,yours,,
1931,gorąco,hot,,
1932,walka,fight,,
1933,akcji,shares,,
1934,sto,hundred,,
1935,przyjdę,I will come,,
1936,własny,own,,
1937,kazał,he ordered,,
1938,stracić,lose,,
1939,dzwoni,is calling,,
1940,cholernie,damned,,
1941,rozmawiałem,I was talking,,
1942,drugiego,second,,
1943,tamtej,then,,
1944,zaufaj,trust,,
1945,czytać,read,,
1946,wraz,together,,
1947,państwa,countries,,
1948,szczególnie,especially,,
1949,każde,every,,
1950,sprzedać,sell,,
1951,spytać,ask,,
1952,woli,will,,
1953,wysłać,send,,
1954,wiec,so,,
1955,przypadek,case,,
1956,angeles,angeles,,
1957,ducha,spirit,,
1958,czekają,they are waiting,,
1959,chris,chris,,
1960,doktora,Dr.,,
1961,spróbuję,I try,,
1962,wyglądać,look,,
1963,naprawić,fix,,
1964,larry,larry,,
1965,posłuchać,listen,,
1966,zobaczy,see,,
1967,duża,big,,
1968,przypadku,case,,
1969,przyjechał,he came,,
1970,wróć,return,,
1971,dowody,evidence,,
1972,pomożesz,help,,
1973,ostatnią,final,,
1974,szlag,damn,,
1975,wybrać,choose,,
1976,swoimi,his,,
1977,wracamy,return,,
1978,nazywają,call,,
1979,umysł,mind,,
1980,podróży,travel,,
1981,pomyśleć,think,,
1982,gadać,talk,,
1983,nóż,knife,,
1984,andy,andy,,
1985,różnych,different,,
1986,mężem,husband,,
1987,richard,richard,,
1988,rozkazy,orders,,
1989,armii,army,,
1990,badania,survey,,
1991,ameryki,america,,
1992,niebo,sky,,
1993,musiałam,I had to,,
1994,jestes,You are,,
1995,strach,fear,,
1996,uczyć,teach,,
1997,bycie,being,,
1998,charles,charles,,
1999,zmarł,He died,,
2000,wierzy,believes,,
